t|posX|posY|posZ|vel|velX|velY|velZ
154.000000|98.777867|1265.322510|-0.000000|8.161933|-0.008478|8.161928|-0.000000
155.000000|98.769388|1273.484434|-0.000000|8.161929|-0.008479|8.161924|-0.000000
156.000000|98.760909|1281.646354|-0.000000|8.161924|-0.008479|8.161920|-0.000000
157.000000|98.752430|1289.808270|-0.000000|8.161920|-0.008479|8.161916|-0.000000
158.000000|98.743951|1297.970182|-0.000000|8.161916|-0.008479|8.161912|-0.000000
159.000000|98.735471|1306.132091|-0.000000|8.161913|-0.008480|8.161908|-0.000000
160.000000|98.726991|1314.293995|-0.000000|8.161909|-0.008480|8.161904|-0.000000
161.000000|98.718510|1322.455895|-0.000000|8.161905|-0.008480|8.161900|-0.000000
162.000000|98.710030|1330.617792|-0.000000|8.161901|-0.008481|8.161897|-0.000000
163.000000|98.701549|1338.779685|-0.000000|8.161897|-0.008481|8.161893|-0.000000
164.000000|98.693068|1346.941574|-0.000000|8.161894|-0.008481|8.161889|-0.000000
165.000000|98.684586|1355.103460|-0.000000|8.161890|-0.008481|8.161886|-0.000000
166.000000|98.676105|1363.265342|-0.000000|8.161886|-0.008482|8.161882|-0.000000
167.000000|98.667623|1371.427220|-0.000000|8.161883|-0.008482|8.161878|-0.000000
168.000000|98.659140|1379.589095|-0.000000|8.161879|-0.008482|8.161875|-0.000000
169.000000|98.650658|1387.750966|-0.000000|8.161876|-0.008482|8.161871|-0.000000
170.000000|98.642175|1395.912834|-0.000000|8.161872|-0.008483|8.161868|-0.000000
171.000000|98.633692|1404.074699|-0.000000|8.161869|-0.008483|8.161865|-0.000000
172.000000|98.625209|1412.236560|-0.000000|8.161866|-0.008483|8.161861|-0.000000
173.000000|98.616726|1420.398418|-0.000000|8.161862|-0.008483|8.161858|-0.000000
174.000000|98.608242|1428.560272|-0.000000|8.161859|-0.008484|8.161855|-0.000000
175.000000|98.599758|1436.722124|-0.000000|8.161856|-0.008484|8.161851|-0.000000
176.000000|98.591274|1444.883972|-0.000000|8.161853|-0.008484|8.161848|-0.000000
177.000000|98.582790|1453.045817|-0.000000|8.161849|-0.008484|8.161845|-0.000000
178.000000|98.574305|1461.207659|-0.000000|8.161846|-0.008485|8.161842|-0.000000
179.000000|98.565821|1469.369497|-0.000000|8.161843|-0.008485|8.161839|-0.000000
180.000000|98.557336|1477.531333|-0.000000|8.161840|-0.008485|8.161836|-0.000000
181.000000|98.548850|1485.693166|-0.000000|8.161837|-0.008485|8.161833|-0.000000
182.000000|98.540365|1493.854995|-0.000000|8.161834|-0.008485|8.161830|-0.000000
183.000000|98.531880|1502.016822|-0.000000|8.161831|-0.008486|8.161827|-0.000000
184.000000|98.523394|1510.178646|-0.000000|8.161828|-0.008486|8.161824|-0.000000
185.000000|98.514908|1518.340466|-0.000000|8.161825|-0.008486|8.161821|-0.000000
186.000000|98.506422|1526.502284|-0.000000|8.161822|-0.008486|8.161818|-0.000000
187.000000|98.497936|1534.664099|-0.000000|8.161819|-0.008486|8.161815|-0.000000
188.000000|98.489449|1542.825912|-0.000000|8.161817|-0.008486|8.161812|-0.000000
189.000000|98.480962|1550.987721|-0.000000|8.161814|-0.008487|8.161809|-0.000000
190.000000|98.472476|1559.149528|-0.000000|8.161811|-0.008487|8.161807|-0.000000
191.000000|98.463989|1567.311332|-0.000000|8.161808|-0.008487|8.161804|-0.000000
192.000000|98.455501|1575.473133|-0.000000|8.161806|-0.008487|8.161801|-0.000000
193.000000|98.447014|1583.634932|-0.000000|8.161803|-0.008487|8.161799|-0.000000
194.000000|98.438527|1591.796728|-0.000000|8.161800|-0.008487|8.161796|-0.000000
195.000000|98.430039|1599.958521|-0.000000|8.161798|-0.008488|8.161793|-0.000000
196.000000|98.421551|1608.120312|-0.000000|8.161795|-0.008488|8.161791|-0.000000
197.000000|98.413063|1616.282100|-0.000000|8.161793|-0.008488|8.161788|-0.000000
198.000000|98.404575|1624.443886|-0.000000|8.161790|-0.008488|8.161786|-0.000000
199.000000|98.396087|1632.605669|-0.000000|8.161788|-0.008488|8.161783|-0.000000
200.000000|98.387598|1640.767449|-0.000000|8.161785|-0.008488|8.161781|-0.000000
201.000000|98.379110|1648.929227|-0.000000|8.161783|-0.008489|8.161778|-0.000000
202.000000|98.370621|1657.091003|-0.000000|8.161780|-0.008489|8.161776|-0.000000
203.000000|98.362132|1665.252777|-0.000000|8.161778|-0.008489|8.161773|-0.000000
204.000000|98.353643|1673.414547|-0.000000|8.161775|-0.008489|8.161771|-0.000000
205.000000|98.345154|1681.576316|-0.000000|8.161773|-0.008489|8.161769|-0.000000
206.000000|98.336665|1689.738082|-0.000000|8.161771|-0.008489|8.161766|-0.000000
207.000000|98.328175|1697.899846|-0.000000|8.161768|-0.008489|8.161764|-0.000000
208.000000|98.319686|1706.061608|-0.000000|8.161766|-0.008490|8.161762|-0.000000
209.000000|98.311196|1714.223367|-0.000000|8.161764|-0.008490|8.161759|-0.000000
210.000000|98.302706|1722.385124|-0.000000|8.161761|-0.008490|8.161757|-0.000000
211.000000|98.294216|1730.546879|-0.000000|8.161759|-0.008490|8.161755|-0.000000
212.000000|98.285726|1738.708631|-0.000000|8.161757|-0.008490|8.161753|-0.000000
213.000000|98.277236|1746.870382|-0.000000|8.161755|-0.008490|8.161750|-0.000000
214.000000|98.268746|1755.032130|-0.000000|8.161753|-0.008490|8.161748|-0.000000
215.000000|98.260255|1763.193876|-0.000000|8.161750|-0.008490|8.161746|-0.000000
216.000000|98.251765|1771.355620|-0.000000|8.161748|-0.008491|8.161744|-0.000000
217.000000|98.243274|1779.517362|-0.000000|8.161746|-0.008491|8.161742|-0.000000
218.000000|98.234783|1787.679101|-0.000000|8.161744|-0.008491|8.161740|-0.000000
219.000000|98.226292|1795.840839|-0.000000|8.161742|-0.008491|8.161738|-0.000000
220.000000|98.217801|1804.002574|-0.000000|8.161740|-0.008491|8.161736|-0.000000
221.000000|98.209310|1812.164308|-0.000000|8.161738|-0.008491|8.161734|-0.000000
222.000000|98.200819|1820.326039|-0.000000|8.161736|-0.008491|8.161731|-0.000000
223.000000|98.192328|1828.487769|-0.000000|8.161734|-0.008491|8.161729|-0.000000
224.000000|98.183836|1836.649496|-0.000000|8.161732|-0.008491|8.161727|-0.000000
225.000000|98.175345|1844.811222|-0.000000|8.161730|-0.008492|8.161726|-0.000000
226.000000|98.166853|1852.972945|-0.000000|8.161728|-0.008492|8.161724|-0.000000
227.000000|98.158361|1861.134667|-0.000000|8.161726|-0.008492|8.161722|-0.000000
228.000000|98.149869|1869.296387|-0.000000|8.161724|-0.008492|8.161720|-0.000000
229.000000|98.141378|1877.458105|-0.000000|8.161722|-0.008492|8.161718|-0.000000
230.000000|98.132885|1885.619821|-0.000000|8.161720|-0.008492|8.161716|-0.000000
231.000000|98.124393|1893.781535|-0.000000|8.161718|-0.008492|8.161714|-0.000000
232.000000|98.115901|1901.943247|-0.000000|8.161717|-0.008492|8.161712|-0.000000
233.000000|98.107409|1910.104957|-0.000000|8.161715|-0.008492|8.161710|-0.000000
234.000000|98.098916|1918.266666|-0.000000|8.161713|-0.008492|8.161709|-0.000000
235.000000|98.090424|1926.428372|-0.000000|8.161711|-0.008493|8.161707|-0.000000
236.000000|98.081931|1934.590077|-0.000000|8.161709|-0.008493|8.161705|-0.000000
237.000000|98.073438|1942.751781|-0.000000|8.161708|-0.008493|8.161703|-0.000000
238.000000|98.064946|1950.913482|-0.000000|8.161706|-0.008493|8.161701|-0.000000
239.000000|98.056453|1959.075182|-0.000000|8.161704|-0.008493|8.161700|-0.000000
240.000000|98.047960|1967.236880|-0.000000|8.161702|-0.008493|8.161698|-0.000000
241.000000|98.039467|1975.398576|-0.000000|8.161701|-0.008493|8.161696|-0.000000
242.000000|98.030974|1983.560270|-0.000000|8.161699|-0.008493|8.161695|-0.000000
243.000000|98.022480|1991.721963|-0.000000|8.161697|-0.008493|8.161693|-0.000000
244.000000|98.013987|1999.883654|-0.000000|8.161696|-0.008493|8.161691|-0.000000
245.000000|98.005494|2008.045344|-0.000000|8.161694|-0.008493|8.161689|-0.000000
246.000000|97.997000|2016.207031|-0.000000|8.161692|-0.008493|8.161688|-0.000000
247.000000|97.988507|2024.368718|-0.000000|8.161691|-0.008494|8.161686|-0.000000
248.000000|97.980013|2032.530402|-0.000000|8.161689|-0.008494|8.161685|-0.000000
249.000000|97.971519|2040.692085|-0.000000|8.161687|-0.008494|8.161683|-0.000000
250.000000|97.963025|2048.853767|-0.000000|8.161686|-0.008494|8.161681|-0.000000
251.000000|97.954532|2057.015446|-0.000000|8.161684|-0.008494|8.161680|-0.000000
252.000000|97.946038|2065.177125|-0.000000|8.161683|-0.008494|8.161678|-0.000000
253.000000|97.937544|2073.338801|-0.000000|8.161681|-0.008494|8.161677|-0.000000
254.000000|97.929049|2081.500476|-0.000000|8.161680|-0.008494|8.161675|-0.000000
255.000000|97.920555|2089.662150|-0.000000|8.161678|-0.008494|8.161674|-0.000000
256.000000|97.912061|2097.823822|-0.000000|8.161676|-0.008494|8.161672|-0.000000
257.000000|97.903567|2105.985492|-0.000000|8.161675|-0.008494|8.161671|-0.000000
258.000000|97.895072|2114.147161|-0.000000|8.161673|-0.008494|8.161669|-0.000000
259.000000|97.886578|2122.308829|-0.000000|8.161672|-0.008494|8.161668|-0.000000
260.000000|97.878083|2130.470495|-0.000000|8.161670|-0.008495|8.161666|-0.000000
261.000000|97.869589|2138.632160|-0.000000|8.161669|-0.008495|8.161665|-0.000000
262.000000|97.861094|2146.793823|-0.000000|8.161668|-0.008495|8.161663|-0.000000
263.000000|97.852600|2154.955484|-0.000000|8.161666|-0.008495|8.161662|-0.000000
264.000000|97.844105|2163.117145|-0.000000|8.161665|-0.008495|8.161660|-0.000000
265.000000|97.835610|2171.278804|-0.000000|8.161663|-0.008495|8.161659|-0.000000
266.000000|97.827115|2179.440461|-0.000000|8.161662|-0.008495|8.161657|-0.000000
267.000000|97.818620|2187.602117|-0.000000|8.161660|-0.008495|8.161656|-0.000000
268.000000|97.810125|2195.763772|-0.000000|8.161659|-0.008495|8.161655|-0.000000
269.000000|97.801630|2203.925425|-0.000000|8.161658|-0.008495|8.161653|-0.000000
270.000000|97.793135|2212.087077|-0.000000|8.161656|-0.008495|8.161652|-0.000000
271.000000|97.784640|2220.248727|-0.000000|8.161655|-0.008495|8.161651|-0.000000
272.000000|97.776144|2228.410377|-0.000000|8.161654|-0.008495|8.161649|-0.000000
273.000000|97.767649|2236.572024|-0.000000|8.161652|-0.008495|8.161648|-0.000000
274.000000|97.759154|2244.733671|-0.000000|8.161651|-0.008495|8.161647|-0.000000
275.000000|97.750658|2252.895316|-0.000000|8.161650|-0.008495|8.161645|-0.000000
276.000000|97.742163|2261.056960|-0.000000|8.161648|-0.008495|8.161644|-0.000000
277.000000|97.733667|2269.218603|-0.000000|8.161647|-0.008496|8.161643|-0.000000
278.000000|97.725172|2277.380244|-0.000000|8.161646|-0.008496|8.161641|-0.000000
279.000000|97.716676|2285.541884|-0.000000|8.161644|-0.008496|8.161640|-0.000000
280.000000|97.708180|2293.703523|-0.000000|8.161643|-0.008496|8.161639|-0.000000
281.000000|97.699684|2301.865160|-0.000000|8.161642|-0.008496|8.161637|-0.000000
282.000000|97.691189|2310.026796|-0.000000|8.161641|-0.008496|8.161636|-0.000000
283.000000|97.682693|2318.188431|-0.000000|8.161639|-0.008496|8.161635|-0.000000
284.000000|97.674197|2326.350065|-0.000000|8.161638|-0.008496|8.161634|-0.000000
285.000000|97.665701|2334.511697|-0.000000|8.161637|-0.008496|8.161632|-0.000000
286.000000|97.657205|2342.673329|-0.000000|8.161636|-0.008496|8.161631|-0.000000
287.000000|97.648709|2350.834959|-0.000000|8.161634|-0.008496|8.161630|-0.000000
288.000000|97.640212|2358.996588|-0.000000|8.161633|-0.008496|8.161629|-0.000000
289.000000|97.631716|2367.158215|-0.000000|8.161632|-0.008496|8.161628|-0.000000
290.000000|97.623220|2375.319842|-0.000000|8.161631|-0.008496|8.161626|-0.000000
291.000000|97.614724|2383.481467|-0.000000|8.161630|-0.008496|8.161625|-0.000000
292.000000|97.606227|2391.643091|-0.000000|8.161629|-0.008496|8.161624|-0.000000
293.000000|97.597731|2399.804714|-0.000000|8.161627|-0.008496|8.161623|-0.000000
294.000000|97.589235|2407.966336|-0.000000|8.161626|-0.008496|8.161622|-0.000000
295.000000|97.580738|2416.127956|-0.000000|8.161625|-0.008496|8.161621|-0.000000
296.000000|97.572242|2424.289576|-0.000000|8.161624|-0.008497|8.161620|-0.000000
297.000000|97.563745|2432.451194|-0.000000|8.161623|-0.008497|8.161618|-0.000000
298.000000|97.555248|2440.612812|-0.000000|8.161622|-0.008497|8.161617|-0.000000
299.000000|97.546752|2448.774428|-0.000000|8.161621|-0.008497|8.161616|-0.000000
300.000000|97.538255|2456.936043|-0.000000|8.161619|-0.008497|8.161615|-0.000000
301.000000|97.529758|2465.097657|-0.000000|8.161618|-0.008497|8.161614|-0.000000
302.000000|97.521262|2473.259269|-0.000000|8.161617|-0.008497|8.161613|-0.000000
303.000000|97.512765|2481.420881|-0.000000|8.161616|-0.008497|8.161612|-0.000000
304.000000|97.504268|2489.582492|-0.000000|8.161615|-0.008497|8.161611|-0.000000
305.000000|97.495771|2497.744101|-0.000000|8.161614|-0.008497|8.161610|-0.000000
306.000000|97.487274|2505.905710|-0.000000|8.161613|-0.008497|8.161609|-0.000000
307.000000|97.478777|2514.067317|-0.000000|8.161612|-0.008497|8.161607|-0.000000
308.000000|97.470280|2522.228924|-0.000000|8.161611|-0.008497|8.161606|-0.000000
309.000000|97.461783|2530.390529|-0.000000|8.161610|-0.008497|8.161605|-0.000000
310.000000|97.453286|2538.552133|-0.000000|8.161609|-0.008497|8.161604|-0.000000
311.000000|97.444789|2546.713737|-0.000000|8.161608|-0.008497|8.161603|-0.000000
312.000000|97.436291|2554.875339|-0.000000|8.161607|-0.008497|8.161602|-0.000000
